Title,Base Title,Artist,Album,Duration,Genre,Year,Original Artist,Cover Song,Orig Artist,Covering Artist,Source Files,Original Data
The One I Love,The One I Love,R.E.M.,,,,1987,,No,,,Book1.csv,"""The One I Love"" - R.E.M. (1987)"
The Promise,The Promise,When in Rome,,,,1987,,No,,,Book1.csv,"""The Promise"" - When in Rome (1987)"
The Ship Song,The Ship Song,Nick Cave,,,,1990,,No,,,Book1.csv,"""The Ship Song"" - Nick Cave (1990)"
The Unforgiven,The Unforgiven,Metallica,,,,1991,,No,,,Book1.csv,"""The Unforgiven"" - Metallica (1991)"
The Wind,The Wind,PJ Harvey,,,,1993,,No,,,Book1.csv,"""The Wind"" - PJ Harvey (1993)"
These Dreams,These Dreams,Heart,,,,1985,,No,,,Book1.csv,"""These Dreams"" - Heart (1985)"
This Woman's Work,This Woman's Work,Kate Bush,,,,1988,,No,,,Book1.csv,"""This Woman's Work"" - Kate Bush (1988)"
Time After Time,Time After Time,Cyndi Lauper,,,,1983,,No,,,Book1.csv,"""Time After Time"" - Cyndi Lauper (1983)"
Torn,Torn,Natalie Imbruglia,,,,1997,,No,,,Book1.csv,"""Torn"" - Natalie Imbruglia (1997)"
Toy Soldiers,Toy Soldiers,Martika,,,,1988,,No,,,Book1.csv,"""Toy Soldiers"" - Martika (1988)"
True Colors,True Colors,Cyndi Lauper,,,,1986,,No,,,Book1.csv,"""True Colors"" - Cyndi Lauper (1986)"
TRUE,TRUE,Spandau Ballet,,,,1983,,No,,,Book1.csv,"""True"" - Spandau Ballet (1983)"
Under the Bridge,Under the Bridge,Red Hot Chili Peppers,,,,1991,,No,,,Book1.csv,"""Under the Bridge"" - Red Hot Chili Peppers (1991)"
Under the Bridge,Under the Bridge,RHCP,,,,1991,,No,,,Book1.csv,"""Under the Bridge"" - RHCP (1991)"
Under the Milky Way,Under the Milky Way,The Church,,,,1988,,No,,,Book1.csv,"""Under the Milky Way"" - The Church (1988)"
Unfinished Sympathy,Unfinished Sympathy,Massive Attack,,,,1991,,No,,,Book1.csv,"""Unfinished Sympathy"" - Massive Attack (1991)"
Uninvited,Uninvited,Alanis Morissette,,,,1998,,No,,,Book1.csv,"""Uninvited"" - Alanis Morissette (1998)"
Untitled,Untitled,The Cure,,,,1989,,No,,,Book1.csv,"""Untitled"" - The Cure (1989)"
Valerie,Valerie,Steve Winwood,,,,1987,,No,,,Book1.csv,"""Valerie"" - Steve Winwood (1987)"
Vision of Love,Vision of Love,Mariah Carey,,,,1990,,No,,,Book1.csv,"""Vision of Love"" - Mariah Carey (1990)"
Walking in Memphis,Walking in Memphis,Marc Cohn,,,,1991,,No,,,Book1.csv,"""Walking in Memphis"" - Marc Cohn (1991)"
Waltz #2 (XO),Waltz #2 (XO),Elliott Smith,,,,1998,,No,,,Book1.csv,"""Waltz #2 (XO)"" - Elliott Smith (1998)"
Wicked Game,Wicked Game,Chris Isaak,,,,1990,,No,,,Book1.csv,"""Wicked Game"" - Chris Isaak (1990)"
Wicked Garden,Wicked Garden,Stone Temple Pilots,,,,1992,,No,,,Book1.csv,"""Wicked Garden"" - Stone Temple Pilots (1992)"
Winter,Winter,Tori Amos,,,,1992,,No,,,Book1.csv,"""Winter"" - Tori Amos (1992)"
Wonderwall,Wonderwall,Oasis,,,,1995,,No,,,Book1.csv,"""Wonderwall"" - Oasis (1995) (yes"
Yellow,Yellow,Coldplay,,,Cover,2000,,Yes,,Coldplay,Book1.csv,"""Yellow"" - Coldplay (2000) (same reason - cover ecosystem)"
You Oughta Know,You Oughta Know,Alanis Morissette,,,,1995,,No,,,Book1.csv,"""You Oughta Know"" - Alanis Morissette (1995)"
Yulunga (Spirit Dance),Yulunga (Spirit Dance),Dead Can Dance,,,,1993,,No,,,Book1.csv,"""Yulunga (Spirit Dance)"" - Dead Can Dance (1993)"
Yulunga,Yulunga,Dead Can Dance,,,,1993,,No,,,Book1.csv,"""Yulunga"" - Dead Can Dance (1993)"
Zombie,Zombie,The Cranberries,,,,1994,,No,,,Book1.csv,"""Zombie"" - The Cranberries (1994)"
18 and Life,18 and Life,The Cranberries,,,,,,No,,,Book1.csv,18 and Life
3AM Eternal,3AM Eternal,The KLF,,,,,,No,,,Book1.csv,3AM Eternal (Live at the S.S.L.) - The KLF
Atrophy,Atrophy,3Teeth,,,,,,No,,,Book1.csv,"3Teeth - ""Atrophy"""
Shutdown,Shutdown,3Teeth,,,,,,No,,,Book1.csv,"3Teeth - ""Shutdown"""
867 5309 / Jenny,867 5309 / Jenny,3Teeth,,,,,,No,,,Book1.csv,867 5309 / Jenny
A Million Miles Away,A Million Miles Away,The Plimsouls,,,,,,No,,,Book1.csv,A Million Miles Away
Judith,Judith,A Perfect Circle,,,,,,No,,,Book1.csv,"A Perfect Circle - ""Judith"""
A Love from Outer Space,A Love from Outer Space,A.R. Kane,,,,,,No,,,Book1.csv,"A.R. Kane - ""A Love from Outer Space"""
Poison Arrow,Poison Arrow,ABC,,,,,,No,,,Book1.csv,ABC - Poison Arrow
Addicted to Love,Addicted to Love,Robert Palmer,,,,,,No,,,Book1.csv,Addicted to Love
Dude (Looks Like a Lady),Dude (Looks Like a Lady),Aerosmith,,,,,,No,,,Book1.csv,Aerosmith - Dude (Looks Like a Lady)
Love in an Elevator,Love in an Elevator,Aerosmith,,,,,,No,,,Book1.csv,Aerosmith - Love in an Elevator
Rag Doll,Rag Doll,Aerosmith,,,,,,No,,,Book1.csv,Aerosmith - Rag Doll
Sweet Emotion,Sweet Emotion,Aerosmith,,,,,,No,,,Book1.csv,Aerosmith - Sweet Emotion
Walk This Way,Walk This Way,Aerosmith,,,,,,No,,,Book1.csv,Aerosmith - Walk This Way
Age of Consent,Age of Consent,Aerosmith,,,,,,No,,,Book1.csv,Age of Consent
Alive and Kicking,Alive and Kicking,Simple Minds,,,,,,No,,,Book1.csv,Alive and Kicking
Avalon,Avalon,Alpha,,,,2001,,No,,,Book1.csv,"Alpha - ""Avalon"" (2001)"
And She Was,And She Was,Talking Heads,,,,,,No,,,Book1.csv,And She Was
Angel,Angel,Weekend Players,,,,,,No,,,Book1.csv,Angel
Obsession,Obsession,Animotion,,,,,,No,,,Book1.csv,Animotion - Obsession
A Night Like This,A Night Like This,Annie Lennox,,,,,,No,,,Book1.csv,"Annie Lennox - ""A Night Like This"" (The Cure)"
Are We Ourselves?,Are We Ourselves?,The Fixx,,,,,,No,,,Book1.csv,Are We Ourselves?
Just Like Heaven,Just Like Heaven,Aurelia,,,,,,No,,,Book1.csv,"Aurelia - ""Just Like Heaven"" Dream pop haze"
Avalon (melody hovering,Avalon (melody hovering,Roxy Music,,,,,,No,,,Book1.csv,Avalon (melody hovering
,,,,,,,,,,,,
Back for More,Back for More,Roxy Music,,,,,,No,,,Book1.csv,Back for More
Feel Like Makin' Love,Feel Like Makin' Love,Bad Company,,,,,,No,,,Book1.csv,Bad Company - Feel Like Makin' Love
Bad Reputation,Bad Reputation,Joan Jett,,,,,,No,,,Book1.csv,Bad Reputation
Brain,Brain,Banks,,,,,,No,,,Book1.csv,"Banks - ""Brain"""
Waiting Game,Waiting Game,Banks,,,,,,No,,,Book1.csv,"Banks - ""Waiting Game"""
Strangelove,Strangelove,Bat for Lashes,,,,,,No,,,Book1.csv,"Bat for Lashes - ""Strangelove"" (Depeche Mode)"
Lazuli,Lazuli,Beach House,,,,,,No,,,Book1.csv,"Beach House - ""Lazuli"""
Myth,Myth,Beach House,,,,,,No,,,Book1.csv,"Beach House - ""Myth"""
Space Song,Space Song,Beach House,,,,,,No,,,Book1.csv,Beach House - Space Song
Beds Are Burning,Beds Are Burning,Murray Head feat. My Back Pages,,,,,,No,,,Book1.csv,Beds Are Burning
Chance,Chance,Big Country,,,,,,No,,,Book1.csv,"Big Country - ""Chance"""
Big Time,Big Time,Virgin Magnetic Material,,,,,,No,,,Book1.csv,Big Time
Blue Highway,Blue Highway,Billy Idol,,,,,,No,,,Book1.csv,Billy Idol - Blue Highway
Catch My Fall,Catch My Fall,Billy Idol,,,,,,No,,,Book1.csv,Billy Idol - Catch My Fall
Cradle of Love,Cradle of Love,Billy Idol,,,,,,No,,,Book1.csv,Billy Idol - Cradle of Love
Dancing With Myself,Dancing With Myself,Billy Idol,,,,,,No,,,Book1.csv,Billy Idol - Dancing With Myself
Flesh for Fantasy,Flesh for Fantasy,Billy Idol,,,,,,No,,,Book1.csv,Billy Idol - Flesh for Fantasy
Hot in the City,Hot in the City,Billy Idol,,,,,,No,,,Book1.csv,Billy Idol - Hot in the City
Rebel Yell,Rebel Yell,Billy Idol,,,,,,No,,,Book1.csv,Billy Idol - Rebel Yell
Billy Idol Adjacent,Billy Idol Adjacent,Billy Idol,,,,,,No,,,Book1.csv,Billy Idol Adjacent
Bizarre Love Triangle,Bizarre Love Triangle,Sugar for Sugar The Time Is Now!,,,,,,No,,,Book1.csv,Bizarre Love Triangle
Black Sheep,Black Sheep,New Order,,,,,,No,,,Book1.csv,Black Sheep
Banquet,Banquet,Bloc Party,,,,,,No,,,Book1.csv,Bloc Party - Banquet
Block Rockin' Beats,Block Rockin' Beats,The Chemical Brothers,,,,,,No,,,Book1.csv,Block Rockin' Beats
Call Me,Call Me,Blondie,,,,,,No,,,Book1.csv,Blondie - Call Me
Call Me (you added),Call Me (you added),Blondie,,,,,,No,,,Book1.csv,Blondie - Call Me (you added)
Dreaming,Dreaming,Blondie,,,,,,No,,,Book1.csv,Blondie - Dreaming
Heart of Glass,Heart of Glass,Blondie,,,,,,No,,,Book1.csv,Blondie - Heart of Glass
One Way or Another,One Way or Another,Blondie,,,,,,No,,,Book1.csv,Blondie - One Way or Another
Blood of Eden,Blood of Eden,Blondie,,,,,,No,,,Book1.csv,Blood of Eden
Bloodstream,Bloodstream,Transviolet Transviolet,,,,,,No,,,Book1.csv,Bloodstream
Blue Monday,Blue Monday,Orgy,,,,,,No,,,Book1.csv,Blue Monday - Orgy
Blue Monday '88,Blue Monday '88,New Order,,,,,,No,,,Book1.csv,Blue Monday '88 - New Order
Blue Öyster Cult,Blue Öyster Cult,New Order,,,,,,No,,,Book1.csv,Blue Öyster Cult
Burnin' for You,Burnin' for You,Blue Öyster Cult,,,,,,No,,,Book1.csv,Blue Öyster Cult - Burnin' for You
Don't Fear the Reaper,Don't Fear the Reaper,Blue Öyster Cult,,,,,,No,,,Book1.csv,Blue Öyster Cult - Don't Fear the Reaper
Godzilla,Godzilla,Blue Öyster Cult,,,,,,No,,,Book1.csv,Blue Öyster Cult - Godzilla
Blue Spanish Sky,Blue Spanish Sky,Blue Öyster Cult,,,,,,No,,,Book1.csv,Blue Spanish Sky
Born Slippy .NUXX,Born Slippy .NUXX,Underworld,,,,,,No,,,Book1.csv,Born Slippy .NUXX
Bossa noir,Bossa noir,Underworld,,,,,,No,,,Book1.csv,Bossa noir
Peace of Mind,Peace of Mind,Boston,,,,,,No,,,Book1.csv,Boston - Peace of Mind
Smokin,Smokin,Boston,,,,,,No,,,Book1.csv,Boston - Smokin'
Motion,Motion,Boy Harsher,,,,,,No,,,Book1.csv,"Boy Harsher - ""Motion"""
Pain,Pain,Boy Harsher,,,,,,No,,,Book1.csv,"Boy Harsher - ""Pain"""
Blow Me Away,Blow Me Away,Breaking Benjamin,,,,,,No,,,Book1.csv,Breaking Benjamin - Blow Me Away
Breaking the Law,Breaking the Law,Judas Priest,,,,,,No,,,Book1.csv,Breaking the Law - Judas Priest
Breathe,Breathe,Urban Myth Club,,,,,,No,,,Book1.csv,Breathe
Breathe,Breathe,The Prodigy,,,,,,No,,,Book1.csv,Breathe - The Prodigy
Bring On the Dancing Horses,Bring On the Dancing Horses,The Prodigy,,,,,,No,,,Book1.csv,Bring On the Dancing Horses
Brown Sugar,Brown Sugar,The Rolling Stones,,,,,,No,,,Book1.csv,Brown Sugar
Run to You,Run to You,Bryan Adams,,,,,,No,,,Book1.csv,Bryan Adams - Run to You
Somebody,Somebody,Bryan Adams,,,,,,No,,,Book1.csv,Bryan Adams - Somebody
Summer of '69,Summer of '69,Bryan Adams,,,,,,No,,,Book1.csv,Bryan Adams - Summer of '69
Don't Stop the Dance,Don't Stop the Dance,Bryan Ferry,,,,,,No,,,Book1.csv,Bryan Ferry - Don't Stop the Dance
Lit Up,Lit Up,Buckcherry,,,,,,No,,,Book1.csv,Buckcherry - Lit Up
Burnin' for You,Burnin' for You,Blue Oyster Cult,,,,,,No,,,Book1.csv,Burnin' for You
Burning Down the House,Burning Down the House,Talking Heads,,,,,,No,,,Book1.csv,Burning Down the House
Everything Zen,Everything Zen,Bush,,,,,,No,,,Book1.csv,Bush - Everything Zen
Everything Zen (you added),Everything Zen (you added),Bush,,,,,,No,,,Book1.csv,Bush - Everything Zen (you added)
Little Things,Little Things,Bush,,,,,,No,,,Book1.csv,Bush - Little Things
Machinehead,Machinehead,Bush,,,,,,No,,,Book1.csv,Bush - Machinehead
Busy Child,Busy Child,The Crystal Method,,,,,,No,,,Book1.csv,Busy Child
But here's what exists:,But here's what exists:,The Crystal Method,,,,,,No,,,Book1.csv,But here's what exists:
Call Me,Call Me,Skye,,,,,,No,,,Book1.csv,Call Me
,,,,,,,,,,,,
Enjoy the Silence,Enjoy the Silence,Carla Bruni,,,,,,No,,,Book1.csv,"Carla Bruni - ""Enjoy the Silence"""
Turbo Killer,Turbo Killer,Carpenter Brut,,,,,,No,,,Book1.csv,"Carpenter Brut - ""Turbo Killer"""
Frozen,Frozen,Celldweller,,,,,,No,,,Book1.csv,"Celldweller - ""Frozen"""
Switchback,Switchback,Celldweller,,,,,,No,,,Book1.csv,"Celldweller - ""Switchback"""
Cello driven,Cello driven,Celldweller,,,,,,No,,,Book1.csv,Cello driven
Swamp Thing,Swamp Thing,Chameleons UK,,,,,,No,,,Book1.csv,"Chameleons UK - ""Swamp Thing"""
Chant No. 1,Chant No. 1,Chameleons UK,,,,,,No,,,Book1.csv,Chant No. 1
Dream Police,Dream Police,Cheap Trick,,,,,,No,,,Book1.csv,Cheap Trick - Dream Police
Surrender,Surrender,Cheap Trick,,,,,,No,,,Book1.csv,Cheap Trick - Surrender
Carrion Flowers,Carrion Flowers,Chelsea Wolfe,,,,,,No,,,Book1.csv,"Chelsea Wolfe - ""Carrion Flowers"""
Cherish the Day,Cherish the Day,Chelsea Wolfe,,,,,,No,,,Book1.csv,Cherish the Day
Cherry coloured Funk,Cherry coloured Funk,Chelsea Wolfe,,,,,,No,,,Book1.csv,Cherry coloured Funk
Cherub Rock,Cherub Rock,The Smashing Pumpkins,,,,,,No,,,Book1.csv,Cherub Rock
The Red,The Red,Chevelle,,,,,,No,,,Book1.csv,Chevelle - The Red
The Killing Moon,The Killing Moon,Chloë Foy,,,,,,No,,,Book1.csv,"Chloë Foy - ""The Killing Moon"""
Chris Isaak (the atmospheric cuts),Chris Isaak (the atmospheric cuts),Chloë Foy,,,,,,No,,,Book1.csv,Chris Isaak (the atmospheric cuts)
Into the Black,Into the Black,Chromatics,,,,,,No,,,Book1.csv,"Chromatics - ""Into the Black"" (Neil Young)"
Running Up That Hill,Running Up That Hill,Chromatics,,,,,,No,,,Book1.csv,"Chromatics - ""Running Up That Hill"" (Kate Bush)"
Chromatics (unreleased studio demo),Chromatics (unreleased studio demo),Chromatics,,,,,,No,,,Book1.csv,Chromatics (unreleased studio demo)
We Sink,We Sink,CHVRCHES,,,,,,No,,,Book1.csv,CHVRCHES - We Sink
Apocalypse,Apocalypse,Cigarettes After Sex,,,,,,No,,,Book1.csv,"Cigarettes After Sex - ""Apocalypse"""
A Day,A Day,Clan of Xymox,,,,,,No,,,Book1.csv,"Clan of Xymox - ""A Day"""
Louise,Louise,Clan of Xymox,,,,,,No,,,Book1.csv,Clan of Xymox - Louise
Click Click Boom,Click Click Boom,Saliva,,,,,,No,,,Book1.csv,Click Click Boom - Saliva
Close to Me,Close to Me,The Cure,,,,,,No,,,Book1.csv,Close to Me
Club Foot,Club Foot,Kasabian,,,,,,No,,,Book1.csv,Club Foot
Cherry coloured Funk,Cherry coloured Funk,Cocteau Twins,,,,,,No,,,Book1.csv,"Cocteau Twins - ""Cherry coloured Funk"""
Cocteau Twins (the warmer tracks),Cocteau Twins (the warmer tracks),Cocteau Twins,,,,,,No,,,Book1.csv,Cocteau Twins (the warmer tracks)
,,,,,,,,,,,,
,,,,,,,,,,,,
Sunglasses at Night,Sunglasses at Night,Corey Hart,,,,,,No,,,Book1.csv,Corey Hart - Sunglasses at Night
Could Have Been Me,Could Have Been Me,Corey Hart,,,,,,No,,,Book1.csv,Could Have Been Me
Call the Ships to Port,Call the Ships to Port,Covenant,,,,,,No,,,Book1.csv,Covenant - Call the Ships to Port
Cradle of Love,Cradle of Love,Covenant,,,,,,No,,,Book1.csv,Cradle of Love
Jewel,Jewel,Cranes,,,,,,No,,,Book1.csv,"Cranes - ""Jewel"""
Cranes,Cranes,Jewel,,,,,,No,,,Book1.csv,Cranes - Jewel
Chinese Burn,Chinese Burn,Curve,,,,,,No,,,Book1.csv,"Curve - ""Chinese Burn"""
Horror Head,Horror Head,Curve,,,,,,No,,,Book1.csv,"Curve - ""Horror Head"""
Dancing With Myself,Dancing With Myself,"Nouvelle Vague, Phoebe Killdeer",,,,,,No,,,Book1.csv,Dancing With Myself
,,,,,,,,,,,,
,,,,,,,,,,,,
Feel the Beat,Feel the Beat,Darude,,,,,,No,,,Book1.csv,Darude - Feel the Beat
Sandstorm,Sandstorm,Darude,,,,,,No,,,Book1.csv,Darude - Sandstorm
Get Lucky,Get Lucky,Daughter,,,,,,No,,,Book1.csv,"Daughter - ""Get Lucky"" (Daft Punk)"
Smother,Smother,Daughter,,,,,,No,,,Book1.csv,"Daughter - ""Smother"""
Youth,Youth,Daughter,,,,,,No,,,Book1.csv,"Daughter - ""Youth"""
Still,Still,Daughter,,,,,,No,,,Book1.csv,Daughter - Still
David Sylvian / Japan,David Sylvian / Japan,Daughter,,,,,,No,,,Book1.csv,David Sylvian / Japan
The Ubiquitous Mr. Lovegrove,The Ubiquitous Mr. Lovegrove,Dead Can Dance,,,,,,No,,,Book1.csv,"Dead Can Dance - ""The Ubiquitous Mr. Lovegrove"""
Highway Star,Highway Star,Deep Purple,,,,,,No,,,Book1.csv,Deep Purple - Highway Star
Speed King,Speed King,Deep Purple,,,,,,No,,,Book1.csv,Deep Purple - Speed King
Animal,Animal,Def Leppard,,,,,,No,,,Book1.csv,Def Leppard - Animal
Photograph,Photograph,Def Leppard,,,,,,No,,,Book1.csv,Def Leppard - Photograph
Rock of Ages,Rock of Ages,Def Leppard,,,,,,No,,,Book1.csv,Def Leppard - Rock of Ages
Euphoria (Firefly),Euphoria (Firefly),Delerium,,,,,,No,,,Book1.csv,"Delerium - ""Euphoria (Firefly)"""
Silence,Silence,Delerium,,,,,,No,,,Book1.csv,"Delerium - ""Silence"" (feat. Sarah McLachlan)"
Barrel of a Gun,Barrel of a Gun,Depeche Mode,,,,,,No,,,Book1.csv,"Depeche Mode - ""Barrel of a Gun"""
I Feel You,I Feel You,Depeche Mode,,,,,,No,,,Book1.csv,"Depeche Mode - ""I Feel You"""
It's No Good,It's No Good,Depeche Mode,,,,,,No,,,Book1.csv,"Depeche Mode - ""It's No Good"""
Just Can't Get Enough,Just Can't Get Enough,Depeche Mode,,,,,,No,,,Book1.csv,Depeche Mode - Just Can't Get Enough
People Are People,People Are People,Depeche Mode,,,,,,No,,,Book1.csv,Depeche Mode - People Are People
desire,desire,U2,,,,,,No,,,Book1.csv,desire
Destination Unknown,Destination Unknown,Sly & Robbie,,,,,,No,,,Book1.csv,Destination Unknown
Devil Inside,Devil Inside,INXS,,,,,,No,,,Book1.csv,Devil Inside
Devil Inside (you already added),Devil Inside (you already added),INXS,,,,,,No,,,Book1.csv,Devil Inside (you already added)
Money for Nothing,Money for Nothing,Dire Straits,,,,,,No,,,Book1.csv,Dire Straits - Money for Nothing
Walk of Life,Walk of Life,Dire Straits,,,,,,No,,,Book1.csv,Dire Straits - Walk of Life
"Disarm (""the killer in me..."")","Disarm (""the killer in me..."")",Dire Straits,,,,,,No,,,Book1.csv,"Disarm (""the killer in me..."")"
Down With the Sickness,Down With the Sickness,Disturbed,,,,,,No,,,Book1.csv,Disturbed - Down With the Sickness
Into the Fire,Into the Fire,Dokken,,,,,,No,,,Book1.csv,Dokken - Into the Fire
Unchain the Night,Unchain the Night,Dokken,,,,,,No,,,Book1.csv,Dokken - Unchain the Night
Don't Believe a Word,Don't Believe a Word,Don Henley,,,,,,No,,,Book1.csv,Don't Believe a Word
Don't Fear the Reaper,Don't Fear the Reaper,The Cat and Owl,,,,,,No,,,Book1.csv,Don't Fear the Reaper
Don't You (Forget About Me),Don't You (Forget About Me),The Wind and The Wave feat. Covers One,,,,,,Yes,,The Wind and The Wave feat. Covers One,Book1.csv,Don't You (Forget About Me)
Down to the Bottom,Down to the Bottom,Dorothy,,,,,,No,,,Book1.csv,Dorothy - Down to the Bottom
Raise Hell,Raise Hell,Dorothy,,,,,,No,,,Book1.csv,Dorothy - Raise Hell
Down In It,Down In It,Nine Inch Nails,,,,,,No,,,Book1.csv,Down In It - Nine Inch Nails
Down to the Bottom,Down to the Bottom,Nine Inch Nails,,,,,,No,,,Book1.csv,Down to the Bottom
Down Under,Down Under,Men At Work,,,,,,No,,,Book1.csv,Down Under
Mötley Crüe,Mötley Crüe,Dr. Feelgood,,,,,,No,,,Book1.csv,Dr. Feelgood - Mötley Crüe
Dream pop,Dream pop,Cheap Trick,,,,,,No,,,Book1.csv,Dream pop
Dream pop haze,Dream pop haze,Cheap Trick,,,,,,No,,,Book1.csv,Dream pop haze
Dream pop shimmer.,Dream pop shimmer.,Cheap Trick,,,,,,No,,,Book1.csv,Dream pop shimmer.
Dreaming,Dreaming,Orchestral Manoeuvres in the Dark,,,,,,No,,,Book1.csv,Dreaming
Drive,Drive,Incubus,,,,,,No,,,Book1.csv,Drive - Incubus
Driven to Tears,Driven to Tears,The Police,,,,,,No,,,Book1.csv,Driven to Tears
Drop Dead Gorgeous,Drop Dead Gorgeous,Aerosmith,,,,,,No,,,Book1.csv,Drop Dead Gorgeous
Du Hast,Du Hast,Rammstein,,,,,,No,,,Book1.csv,Du Hast - Rammstein
Girls on Film,Girls on Film,Duran Duran,,,,,,No,,,Book1.csv,Duran Duran - Girls on Film
Hungry Like the Wolf,Hungry Like the Wolf,Duran Duran,,,,,,No,,,Book1.csv,Duran Duran - Hungry Like the Wolf
Notorious,Notorious,Duran Duran,,,,,,No,,,Book1.csv,Duran Duran - Notorious
Rio,Rio,Duran Duran,,,,,,No,,,Book1.csv,Duran Duran - Rio
The Reflex,The Reflex,Duran Duran,,,,,,No,,,Book1.csv,Duran Duran - The Reflex
The Reflex (you already added),The Reflex (you already added),Duran Duran,,,,,,No,,,Book1.csv,Duran Duran - The Reflex (you already added)
The Wild Boys,The Wild Boys,Duran Duran,,,,,,No,,,Book1.csv,Duran Duran - The Wild Boys
Union of the Snake,Union of the Snake,Duran Duran,,,,,,No,,,Book1.csv,Duran Duran - Union of the Snake
Duran Duran,Duran Duran,The Shimmering,,,,,,No,,,Book1.csv,Duran Duran / INXS / U2 - The Shimmering
INXS,INXS,The Shimmering,,,,,,No,,,Book1.csv,Duran Duran / INXS / U2 - The Shimmering
Duran Duran Energy (glossy,Duran Duran Energy (glossy,The Shimmering,,,,,,No,,,Book1.csv,Duran Duran Energy (glossy
Each and Every One,Each and Every One,The Shimmering,,,,,,No,,,Book1.csv,Each and Every One
Eat the Rich,Eat the Rich,The Shimmering,,,,,,No,,,Book1.csv,Eat the Rich
Echo & The Bunnymen,Echo & The Bunnymen,The Shimmering,,,,,,No,,,Book1.csv,Echo & The Bunnymen
Bring on the Dancing Horses,Bring on the Dancing Horses,Echo & The Bunnymen,,,,,,No,,,Book1.csv,"Echo & The Bunnymen - ""Bring on the Dancing Horses"""
Lips Like Sugar,Lips Like Sugar,Echo & The Bunnymen,,,,,,No,,,Book1.csv,Echo & The Bunnymen - Lips Like Sugar
Echo & The Bunnymen,Echo & The Bunnymen,The Killing Moon,,,,,,No,,,Book1.csv,Echo & The Bunnymen - The Killing Moon
Connection,Connection,Elastica,,,,,,No,,,Book1.csv,Elastica - Connection
Epic,Epic,Faith No More,,,,,,No,,,Book1.csv,Epic
Ethereal wave,Ethereal wave,Faith No More,,,,,,No,,,Book1.csv,Ethereal wave
Santa Monica,Santa Monica,Everclear,,,,,,No,,,Book1.csv,Everclear - Santa Monica
Soul in Isolation,Soul in Isolation,Evi Vine,,,,,,No,,,Book1.csv,"Evi Vine - ""Soul in Isolation"" (The Chameleons)"
Female fronted,Female fronted,Bad Company,,,,,,No,,,Book1.csv,Female fronted
Moonchild,Moonchild,Fields of the Nephilim,,,,,,No,,,Book1.csv,"Fields of the Nephilim - ""Moonchild"""
Hey Man Nice Shot,Hey Man Nice Shot,Filter,,,,,,No,,,Book1.csv,"Filter - ""Hey Man Nice Shot"""
Welcome to the Fold,Welcome to the Fold,Filter,,,,,,No,,,Book1.csv,"Filter - ""Welcome to the Fold"""
Fire Woman,Fire Woman,The Cult,,,,,,No,,,Book1.csv,Fire Woman
Fire Woman (you added),Fire Woman (you added),The Cult,,,,,,No,,,Book1.csv,Fire Woman (you added)
Firestarter,Firestarter,The Prodigy,,,,,,No,,,Book1.csv,Firestarter
Cellophane,Cellophane,FKA Twigs,,,,,,No,,,Book1.csv,"FKA Twigs - ""Cellophane"""
Two Weeks,Two Weeks,FKA Twigs,,,,,,No,,,Book1.csv,"FKA Twigs - ""Two Weeks"""
All My Life,All My Life,Foo Fighters,,,,,,No,,,Book1.csv,Foo Fighters - All My Life
The Pretender,The Pretender,Foo Fighters,,,,,,No,,,Book1.csv,Foo Fighters - The Pretender
Foolin,Foolin,Orange Music,,,,,,No,,,Book1.csv,Foolin'
Forbidden Colours,Forbidden Colours,Orange Music,,,,,,No,,,Book1.csv,Forbidden Colours
Hot Blooded,Hot Blooded,Foreigner,,,,,,No,,,Book1.csv,Foreigner - Hot Blooded
Juke Box Hero,Juke Box Hero,Foreigner,,,,,,No,,,Book1.csv,Foreigner - Juke Box Hero
Foundational New Wave (your core),Foundational New Wave (your core),Foreigner,,,,,,No,,,Book1.csv,Foundational New Wave (your core)
Fox On The Run,Fox On The Run,Sweet,,,,,,No,,,Book1.csv,Fox On The Run - Sweet
Take Me Out,Take Me Out,Franz Ferdinand,,,,,,No,,,Book1.csv,Franz Ferdinand - Take Me Out
Take Me Out (angular,Take Me Out (angular,Franz Ferdinand,,,,,,No,,,Book1.csv,Franz Ferdinand - Take Me Out (angular
Friday I'm in Love,Friday I'm in Love,The Daylights,,,,,,No,,,Book1.csv,Friday I'm in Love
Headhunter,Headhunter,Front 242,,,,,,No,,,Book1.csv,"Front 242 - ""Headhunter"""
Mindphaser,Mindphaser,Front Line Assembly,,,,,,No,,,Book1.csv,"Front Line Assembly - ""Mindphaser"""
Prophecy,Prophecy,Front Line Assembly,,,,,,No,,,Book1.csv,"Front Line Assembly - ""Prophecy"""
#1 Crush,#1 Crush,Garbage,,,,,,No,,,Book1.csv,Garbage - #1 Crush
Push It,Push It,Garbage,,,,,,No,,,Book1.csv,"Garbage - ""Push It"""
Vow,Vow,Garbage,,,,,,No,,,Book1.csv,"Garbage - ""Vow"""
Only Happy When It Rains,Only Happy When It Rains,Garbage,,,,,,No,,,Book1.csv,Garbage - Only Happy When It Rains
Special,Special,Garbage,,,,,,No,,,Book1.csv,Garbage - Special
Stupid Girl,Stupid Girl,Garbage,,,,,,No,,,Book1.csv,Garbage - Stupid Girl
Temptation Waits,Temptation Waits,Garbage,,,,,,No,,,Book1.csv,Garbage - Temptation Waits
Complex,Complex,Gary Numan,,,,,,No,,,Book1.csv,Gary Numan - Complex
